Search,Corrected,Timestamp,IP,Search Function,Cat1,Cat2,Cat3,Cat4,Cat5,Geo,Genre
run the jewels,run the jewels,2/21/2021 15:29,10ce72f73d6a012068954128c80306a246459b9c,keyword,squares (open spaces),public spaces,architecture,Women,African Americans,United States,squares
sewing,sewing,2/21/2021 15:29,f0616cc47cab907b39ff261d389dff9b8163b671,keyword,Sewing,sewing equipment & supplies,sewing machines,sewing machine industry,Sewing machines,United States,photographs
fashion,fashion,2/21/2021 15:29,c565cd9fdabae563cb99aea2bab046e904bc23c0,keyword,Fashion,Social aspects,Clothing and dress,Fashion design,Fashion designers,United States,text
bird guide,bird guide,2/21/2021 15:29,2a18d944f8a4bedcd1de5c66c32b53d6b9d3a131,keyword,Birds,Identification,Bird watching,Animals,Geographical distribution,North America,Identification
greenlights,greenlight,2/21/2021 15:30,9380cd1ac825accb850fa00af6d44fb23f0e143b,keyword,"Antiquities, Roman",Archaeology,Soccer fans,Soccer,Management,Great Britain,Drama
interview prep,interview prep,2/21/2021 15:30,a4de1d38f7ef54680ca0407513e75ea19cb742d3,keyword,Production and direction,Social conditions,Intellectual life,Theater,Employment interviewing,United States,text
tea,tea,2/21/2021 15:30,0854e1ad1d6a94f254844d3828abb3ceeec9135d,keyword,Tea,tea,tea trade,photographs,Chinese,China,photographs
atlas of the world,atlas of the world,2/21/2021 15:31,0854e1ad1d6a94f254844d3828abb3ceeec9135d,keyword,Atlases,Missions,"World War, 1914-1918",Christianity,Maps,United States,Maps
bridgerton,bridgerton,2/21/2021 15:31,3a9870d0e97dbf290a7c4a306588454f52ae9b93,keyword,Man-woman relationships,Marriage,Birch,Alder,Diaries,England,Fiction
vanishing half,vanishing half,2/21/2021 15:31,1a387ca4c6e2213212bddd7d7a6e88a9a642ecb8,keyword,Politics and government,Social conditions,Social life and customs,Mathematics,Jews,United States,text
stacey abrahms,stacey abrahms,2/21/2021 15:31,10ce72f73d6a012068954128c80306a246459b9c,keyword,Hematology,Hematologic Diseases,diagnosis,therapy,,N/a,N/a
design,design,2/21/2021 15:32,c565cd9fdabae563cb99aea2bab046e904bc23c0,keyword,Design,Industrial design,Architectural design,Design and construction,Computer-aided design,United States,text
interview questions,interview questions,2/21/2021 15:32,a4de1d38f7ef54680ca0407513e75ea19cb742d3,keyword,Employment interviewing,Vocational guidance,Methodology,Interviewing,Research,United States,Interviews
programming,programming,2/21/2021 15:32,c05641563010e3f9b25b2c86491487b82bf78e19,keyword,Computer science,Programming Techniques,Software engineering,Artificial intelligence,Logic design,United States,text
precious,precious,2/21/2021 15:33,a4b3aac98bf52e2d742b0a31e78e06741b3ac9e5,keyword,Precious stones,Precious metals,Women private investigators,No. 1 Ladies' Detective Agency (Imaginary organization),"Ramotswe, Precious (Fictitious character)",Botswana,Fiction
michelle robinson,michelle robinson,2/21/2021 15:33,ee50836c3f1ce130e08c2377561b115dd00cabfb,keyword,History and criticism,Women,African Americans,Education,Research,United States,text
writing a cover letter,writing a cover letter,2/21/2021 15:33,6eb20a3b466a09ba3f2ebb679a69de8cc13f784d,keyword,History and criticism,Letter writing,Authorship,Women,Women authors,United States,text
learn python,learn python,2/21/2021 15:33,c05641563010e3f9b25b2c86491487b82bf78e19,keyword,Python (Computer program language),Machine learning,Artificial intelligence,Python,Computer programming,N/a,text
push by sapphire,push by sapphire,2/21/2021 15:34,a4b3aac98bf52e2d742b0a31e78e06741b3ac9e5,keyword,History and criticism,American fiction,American literature,African American authors,African Americans,United States,Fiction
eat this not that,eat this not that,2/21/2021 15:34,814859cca02929ea802b4cde66f32f1983e2ca15,keyword,Eating disorders,Feeding and Eating Disorders,therapy,psychology,Obesity,United States,text
fifty shades of grey,fifty shades of grey,2/21/2021 15:34,68b3ed27ad92b00864b35588bad381652da1ce8a,keyword,History and criticism,Social aspects,Popular culture,Man-woman relationships,Women,United States,text
marilynne robinson,marilynne robinson,2/21/2021 15:35,ee50836c3f1ce130e08c2377561b115dd00cabfb,keyword,History and criticism,American fiction,American literature,Criticism and interpretation,Philosophy,United States,text
